DIM_Establecimientos[establecimiento_id],DIM_Establecimientos[establecimiento_nombre],DIM_Establecimientos[Dependencia],DIM_Establecimientos[Municipio],DIM_Establecimientos[Egresos 22_24],DIM_Establecimientos[Egresos Anual 22_24],DIM_Establecimientos[Estadia Media 22_24],DIM_Establecimientos[Mortalidad 22_24],DIM_Establecimientos[Camas 22_24],DIM_Establecimientos[Ocupacion 22_24],DIM_Establecimientos[Giro 22_24],DIM_Establecimientos[Segmento],DIM_Establecimientos[Mediana LOS Dep],DIM_Establecimientos[Mediana Mort Dep],DIM_Establecimientos[LOS Ratio],DIM_Establecimientos[Mort Ratio],DIM_Establecimientos[Clasificacion Capacidad],DIM_Establecimientos[Desempeno Internacion]
80501076,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,27150,9050,"1,1901289134438306","0,003278084714548803",24,"1,1668187347931873","377,0833333333333",Agudos,"3,107649896623019","0,025671042729325196","0,38296750053379713","0,12769581466217958",Anomalia de datos,Dentro de banda
80500860,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501103,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501033,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501086,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,18362,"6120,666666666667","1,0696002614094324","0,0022873325345822895",30,"0,587712895377129","204,0222222222222",Agudos,"3,107649896623019","0,025671042729325196","0,34418299904752203","0,08910166052465668",Normal,Dentro de banda
80501041,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501084,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
80501068,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,37344,12448,"2,8493198371893746","0,0012585689802913453",149,"0,7252032919186097","83,54362416107382",Agudos,"3,107649896623019","0,025671042729325196","0,9168728563296776","0,0490267962062026",Normal,Dentro de banda
80501085,Hosp. Zonal Gral. de Ag. M. V. de Martinez,Municipal,Tigre,3330,1110,"3,3525525525525524","0,018018018018018018","15,666666666666666","0,7764119216050098","70,85106382978724",Agudos,"3,107649896623019","0,025671042729325196","1,0788063855570285","0,701881034128591",Normal,Dentro de banda
53900139,Antropozoonosis,Municipal,Merlo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
78400106,Asociación Hogar de Ancianos de Suipacha,Municipal,Suipacha,9,"4,5","237,22222222222223","0,2222222222222222",36,"0,9032846715328468","0,08333333333333333",Estadia prolongada,"3,107649896623019","0,025671042729325196","76,3349251407","8,656532754252623",Excluido (no agudo),Dentro de banda
42701436,Atención Médica en Acción Social,Municipal,La Matanza,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
27001201,Base XX C.A.P.S.,Provincial,Ezeiza,31060,"10353,333333333334","5,993689632968448","0,0577269800386349","217,33333333333334","0,7719215007893587","47,63803680981595",Agudos,"5,54963563866355","0,04447215295095595","1,0800149817424471","1,2980477941397714",Normal,Dentro de banda
27001146,Base XX C.A.P.S.,Municipal,Ezeiza,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
27001120,Base XXIV C.A.P.S. La Cunita,Municipal,Ezeiza,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
27001111,Base XXX Sanidad Aeroportuaria,Municipal,Ezeiza,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
27001138,Base XiX C.A.P.S.,Municipal,Ezeiza,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
41201195,C. Móvil Asist. Salud para mi Gente,Municipal,José C. Paz,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
71400259,C.A.P.S Dr. Ramón Carrillo,Municipal,Salto,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
70700283,C.A.P.S Móvil Dra. Mabel Santiago,Municipal,Saladillo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
12600481,C.A.P.S N° 26,Municipal,Campana,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
55300122,C.A.P.S Polideportivo Municipal M. Hermoso,Municipal,Monte Hermoso,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
75601935,C.A.P.S San Pantaleón.,Municipal,San Isidro,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
75600732,C.A.P.S.  La  Rivera,Municipal,San Isidro,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
56800963,C.A.P.S. 10 de Agosto,Municipal,Morón,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
70700151,C.A.P.S. 31 de Julio,Municipal,Saladillo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
37100106,C.A.P.S. A. Nº 10 Bo. Esperanza,Municipal,General San Martín,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
25200318,C.A.P.S. A. Peñalba,Municipal,Escobar,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
25200326,C.A.P.S. A. Sambrano,Municipal,Escobar,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
53200436,C.A.P.S. Adultos Mayores,Municipal,Mercedes,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
25200237,C.A.P.S. Alfredo Vilar,Municipal,Escobar,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
56801269,C.A.P.S. Almafuerte,Municipal,Morón,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
53200391,C.A.P.S. Altamira,Municipal,Mercedes,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
70700097,C.A.P.S. Alvarez de Toledo,Municipal,Saladillo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
49700435,C.A.P.S. Ameghino,Municipal,Luján,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
64800298,C.A.P.S. América Unida A. Ilia,Municipal,Presidente Perón,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
70700160,C.A.P.S. Asencio Ibarbia,Municipal,Saladillo,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
75600660,C.A.P.S. Bajo Boulogne,Municipal,San Isidro,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
16100092,C.A.P.S. Barrio Altos del Canal,Municipal,Carmen de Areco,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
16100076,C.A.P.S. Bo. Abel Etchart,Municipal,Carmen de Areco,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
42000306,C.A.P.S. Bo. Barrio San Martín,Municipal,La Costa,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
31500102,C.A.P.S. Bo. Belgrano,Municipal,General Juan Madariaga,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
28000131,C.A.P.S. Bo. Belgrano,Municipal,General Alvarado,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
07700125,C.A.P.S. Bo. El Sol,Municipal,Arrecifes,,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
7700125,C.A.P.S. Bo. El Sol,Municipal,Arrecifes,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
7700061,C.A.P.S. Bo. FONAVI R. Carrillo,Municipal,Arrecifes,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
07700061,C.A.P.S. Bo. FONAVI R. Carrillo,Municipal,Arrecifes,,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
42000250,C.A.P.S. Bo. Las Quintas,Municipal,La Costa,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
56800653,C.A.P.S. Bo. Marina,Municipal,Morón,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
16100068,C.A.P.S. Bo. Marín,Municipal,Carmen de Areco,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
16100050,C.A.P.S. Bo. Norte,Municipal,Carmen de Areco,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
31500111,C.A.P.S. Bo. Norte,Municipal,General Juan Madariaga,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
75601990,C.A.P.S. Bo. Obrero,Municipal,San Isidro,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
28000140,C.A.P.S. Bo. Oeste,Municipal,General Alvarado,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
42000276,C.A.P.S. Bo. P. J. Rocco,Municipal,La Costa,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
28000123,C.A.P.S. Bo. Parque Bristol,Municipal,General Alvarado,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
68600077,C.A.P.S. Bo. Progreso,Municipal,Rojas,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
16100084,C.A.P.S. Bo. Rigacci,Municipal,Carmen de Areco,,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
31500129,C.A.P.S. Bo. San Martín,Municipal,General Juan Madariaga,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
7700117,C.A.P.S. Bo. Santa Lina,Municipal,Arrecifes,0,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
07700117,C.A.P.S. Bo. Santa Lina,Municipal,Arrecifes,,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
07700079,C.A.P.S. Bo. Santa Teresita,Municipal,Arrecifes,,,,,,,,Sin internacion,"3,107649896623019","0,025671042729325196",,,Excluido (no agudo),Dentro de banda
