anio,dependencia,establecimiento_id,region_sanitaria,municipio_id,municipio_nombre,establecimiento_nombre,consultas_odontologicas,consultas_medicas,consultas_paramedicas,interconsultas,egresos,dias_camas_disponible,promedio_camas_disponibles,pacientes_dias,porcentaje_ocupacion,dias_estadia,promedio_dias_estadia,defunciones,giro_de_camas,tasa_mortalidad_hospitalaria
2024,Municipal,65100181,I,6651,Puán,"Hogar de Ancianos ""El Tercer Hogar""",,10.959,74,,18,5.856,16,5.115,"87,3","1,1",10.766,"598,1",1,"5,6"
2024,Municipal,65100182,I,6651,Puán,Hogar Geriatrico (Unidad Sanitaria Delia Nora Cerviño),,8.07,328,,16,6.588,18,5.892,"89,4","0,9",9.363,"585,2",3,"18,8"
2024,Municipal,70000010,I,6700,Saavedra,Unid. Sanit. y Hogar Virgen del Milagro,259,3.361,18,,19,4.392,12,2.941,"67,0","1,6",999,"52,6",2,"10,5"
2024,Municipal,70000028,I,6700,Saavedra,Sala de Pros. Aux. Espartillar y Hogar de Ancianos,193,2.177,,,9,4.392,12,3.467,"78,9","0,7",7.18,"797,8",1,"11,1"
2024,Municipal,70000036,I,6700,Saavedra,Hosp. Psiquiátrico de Pigüé,,2.637,3.632,,,,,,,,,,,
2024,Municipal,70000044,I,6700,Saavedra,Hosp. y Maternidad Munic. O. F. Ducos,2.92,57.253,9.664,,2.36,41.358,113,16.214,"39,2","20,8",12.102,"5,1",130,"5,5"
2024,Municipal,70000052,I,6700,Saavedra,Hosp. Munic. Dr. M. Suarch,459,8.98,2.097,,357,16.47,45,7.218,"43,8","7,9",9.766,"27,4",19,"5,3"
2024,Municipal,70000061,I,6700,Saavedra,Sala de Pros. Aux. Goyena,279,1.55,,,,,,,,,,,,
2024,Municipal,70000079,I,6700,Saavedra,Sala de Pros. Aux. Dufaur,234,2.593,,,,,,,,,,,,
2024,Municipal,70000095,I,6700,Saavedra,Sala Bo. J. Murguia - Dr. O. Brossay,,2.002,,,,,,,,,,,,
2024,Municipal,70000109,I,6700,Saavedra,Sala de Pros. Aux. F. Ducos,,19.246,,,,,,,,,,,,
